G,A,E,I,S,L,D,prob_Y,Y
0,-5.065061524685067,0.015873203241801748,7.759382972967632,8.389166335017858,8.396145188831454,23.87648262654794,0.5279242583762321,1
1,-3.4577203848707114,-0.034273146777851315,3.7055956113197626,8.133859066040152,6.848786611565879,7.127520819112491,0.5361070876594745,0
1,0.37046471131732517,0.03383166530520909,-7.013681403881183,-7.85114241818316,14.839645026375177,7.147494454665411,0.1394587758665577,0
1,3.997458311216114,-0.014619967579029891,4.963983657368152,0.1702731521688352,-1.8116584735010184,-4.026687123309802,0.5709271563977544,1
1,18.78218785064596,-0.2093336227781079,-0.9527234125545143,-1.077656817356135,6.856445063893964,8.59724731695446,0.33760929748233637,0
1,-7.888536729178167,0.003548022333496048,4.976140926057161,8.083490828175169,0.9555642046533637,-5.735839999206516,0.73000920182849,1
0,-9.569504464495427,-0.11485911385149128,-9.899152711567222,0.7994225823371632,-0.6419964063426882,4.5357600728470935,0.4459260488410937,1
0,-2.256649590091641,-0.11315217258688598,-8.5698110603417,-2.2661696414933337,-8.417394261930127,-4.818311406868269,0.5295223191282062,1
0,-8.277215912265326,-0.12955759376793685,-2.478376355736506,0.23088024844757093,-6.213625974557742,-5.284770323492041,0.6140391807081822,0
0,15.545927321171895,-0.1992872384227985,9.16241496257306,10.801494430713213,-1.9943966946227505,1.2698950092152073,0.873837028453118,1
0,-13.926415878236593,-0.10146814767229928,1.1467247762767476,-3.205939736403284,7.762028764779514,15.361001288097272,0.31365377962852886,1
0,20.583881673893025,-0.20864029505339415,1.5826824389120582,-7.4482784381488285,-3.1455995786369844,2.612398445413443,0.5930250454861594,1
1,5.8398087267812215,-0.07411589601501445,-0.4618712838749133,-11.58726234009153,1.2992158106674143,-11.14017921998859,0.5011980909665844,0
1,17.04119520511859,-0.04411306723722813,5.7860407162391185,5.256265797522398,-0.5196718316395013,0.9791815031678919,0.6071806665236286,1
0,17.508201513695205,-0.21991750846439934,1.1310551237535762,0.24499439986986937,3.6122288380495915,7.403935279009602,0.4276907796192565,1
0,-14.569869025932856,-0.06389462498308623,-1.845897898590193,3.1592863183540176,-2.984663197165827,-10.750152970632136,0.6569180031713143,1
1,-0.128677378216409,0.11406648383008,4.385835557076447,-3.177557915065016,2.3742079763895294,1.2865678912385083,0.5027439538750965,1
1,2.6551841809237544,0.00884936222836874,2.832456478225456,-5.953885965083439,2.6904670740553795,-5.894385816899179,0.5945604679147043,1
0,0.30344657434483224,-0.03667829994808297,1.5355259707371478,-4.84746978979007,0.8414423988223403,8.297562340007357,0.4399987881177203,1
1,3.0895328375130333,0.010214030934601492,-0.2646764402345698,-0.8777315462338362,3.17807584487191,4.610616767441808,0.4092978247215568,0
1,6.331818039171857,-0.07937006792353035,-3.384259605280421,3.142558042229731,6.041336383552002,14.073911392081293,0.3662027046093335,0
1,-15.163479894709255,0.11223924696209941,5.155071416029093,1.107504739516553,-9.266592605099728,-9.841003437554546,0.7041090829992617,0
1,9.916873942235554,-0.06963535384471747,6.322005260800237,3.5445773553061,-0.7266401966825088,2.191466555035981,0.575209028900437,1
0,-2.219747332438999,-0.027863418357368885,5.460236558604358,1.3857317145051478,2.0530844606994707,-4.614464253615658,0.5881685332332186,0
0,9.297104020369346,-0.12222827051899454,7.350398625123495,4.319804569820006,0.6689479042521098,-4.795785634873978,0.6676252938768389,1
0,9.83007410277478,-0.24442604275212182,-1.7614010223061842,1.5914796612682913,1.5093878742050215,-1.5484238804769461,0.490732561804444,1
1,-6.30426359969362,0.008887861700366484,5.240239537834612,5.946049856367418,0.3733759852824328,0.4008459798000461,0.6261892999322065,1
1,13.68825933465994,-0.14173216635409636,-1.1285281726507361,-10.301255644602872,3.889770241951853,-2.6953165862564976,0.4206191708410975,1
0,1.660981366326446,-0.16817522730225382,-2.0084969081854167,-5.76472388926096,3.995038692117527,-5.553018209977177,0.40313375906044874,0
0,-14.272987833580991,-0.1652213659433759,-1.6034227171941555,-1.4123533306189051,-3.5237116044180796,-1.8327600911240824,0.48220167034672495,0
1,-2.047254874839396,-0.06480055959028752,-1.4882768435687637,-13.78631166894581,5.642419737899301,7.7208485423868,0.2910805915230435,0
