A,G,E,P,EY,I,prob_Y,Y
34.391085316856206,1,0.15784199919250064,11,41.201005211679984,9.938166373029102,0.8718978859264608,0
20.0,0,-0.10333527865907444,9,31.222598065335397,9.281170924578912,0.6225129403649222,0
20.0,1,0.06249411953609141,9,26.599953759821375,9.866159721045824,0.6018963350857175,1
20.0,1,0.07944516345855446,10,28.49591504323611,9.863520144304854,0.6433687203644312,0
20.0,0,0.004783605463858587,10,30.156305772684547,9.791270086039637,0.6643184855011848,1
20.0,1,-0.028555371827340803,8,25.050758821412806,9.80692053134579,0.5508941256050669,0
20.0,1,0.029347825259528615,11,29.644007134510428,9.290365584040591,0.5924245157839662,0
20.0,0,-0.10721008160711692,10,29.24819295528731,7.69103573377172,0.37417985194416375,1
20.0,1,0.10625057476295674,10,27.72156959322141,9.755480679034699,0.6158485051799492,0
20.0,0,-0.19998846411049914,7,31.576676452451927,9.701233676326401,0.677018265208223,0
22.511350834018963,1,0.2198800994828065,10,29.378429962230456,9.961146050409418,0.6893960919795441,1
20.0,1,-0.016962447338880193,12,28.383806009271954,9.489093585974544,0.5758894069973511,0
20.0,0,-0.005198954713960258,11,27.6250100468703,9.353760350535682,0.5464956774437664,1
20.0,0,-0.09856114100289193,12,26.439381618364774,6.129172331892682,0.16668845755847095,0
20.0,1,0.19526882933918344,10,28.898986017102295,9.210858040203151,0.5895011293091746,0
20.0,1,0.06976698816027538,9,27.146249039675077,9.647947320494964,0.589653355829755,1
20.0,0,0.049848320956965786,8,33.099146339878885,9.792835079522572,0.7390972647674311,1
20.0,1,0.16361862319412068,9,23.49570396282717,9.363619156100897,0.4755793918304679,1
20.0,0,-0.10173829449489274,7,29.522015781230927,9.647131361188757,0.635691035132847,1
20.0,1,0.053332884282530135,11,26.64394040435985,9.745785249954244,0.5777864241210928,1
20.0,0,-0.007152269151657897,10,26.223967604343507,9.292125567096571,0.5084554015439846,1
20.0,1,0.07241019843191865,9,33.65758978659935,9.903494094357235,0.7581863153258547,1
20.0,1,0.025431356926904014,10,25.990826036844307,8.75404895084788,0.43973544156076766,0
20.0,1,0.06196449858029551,11,30.40431637771428,9.835365755995031,0.6767414133309544,1
20.0,1,0.08992662771860438,11,26.297255330282226,9.794786185454946,0.5797681827824488,1
20.0,0,-0.10380187330666307,9,30.088057340698334,8.593695564805252,0.5106991358547941,1
20.0,1,0.0760481669292753,7,26.52242702324015,8.941420233901415,0.4981972904540279,0
20.0,1,0.10168317654438241,9,33.58878993579776,9.773680265846886,0.7475543836897722,1
23.191209288436305,0,-0.06077521821789539,9,27.221542318776535,9.245805437697783,0.5259067389407664,0
20.0,0,-0.16986101848484636,8,26.598561687661768,8.040664711601153,0.3555534112926478,0
20.0,0,-0.08115884151511604,8,25.838588260187645,9.884712008889894,0.5733814536669416,1
20.0,0,-0.027470801346785978,8,25.95697021441365,8.666422722657042,0.43172871589713224,1
20.0,0,0.029803601594938223,9,31.943737555789784,9.910737585603535,0.7218576340905026,0
20.0,1,-0.03636415242929719,8,24.61307050347788,6.2662362981119415,0.1660712078956905,0
20.0,1,0.035053214159534885,8,28.769622279285375,9.157371288866141,0.5703305709345737,1
20.0,0,-0.030914920354200348,13,27.66399187446021,9.817634978565945,0.5924068701776917,0
20.0,1,0.16959237491933898,10,28.22821822885658,9.168866850331739,0.5648803423340996,1
20.0,0,-0.030146558215450203,8,24.918583306140334,9.581356752109235,0.5193625489829248,1
20.0,0,-0.05122112863666367,9,30.068348966371275,8.060337606654711,0.4502758116383143,0
20.0,1,0.0748830808507035,9,30.925662232647827,9.152466335062527,0.6213521630858406,1
20.0,1,0.10220096475191853,10,26.351887834416537,9.511347511921798,0.5525315351039497,1
20.0,1,0.14950809498217632,9,31.21050995841607,9.010132302638413,0.6200879848122994,1
20.0,1,0.019376891538731678,9,30.799384993674813,9.743284443402311,0.6792483484171963,0
20.0,0,0.0307044932741537,8,24.07271533714517,7.251723278753227,0.24204707244260082,0
20.0,1,0.1492635313266193,10,23.074139528389047,9.561748310867625,0.4829719116020397,1
